"Table 6. Earnings Growth, by Industry and State and Region, 2022:Q1¨C2022:Q2¡ªTable Ends",,,,,,,,,,,,,
,[Millions of dollars],,,,,,,,,,,,
,Earnings by industry,,,,,,,,,,,,
,Real estate and rental and leasing,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and support and waste management and remediation services,Educational services,Health care and social assistance,"Arts, entertain-ment, and recreation",Accommodation and food services,Other services (except government and government enterprises),Government,,,
,,,,,,,,,,Federal civilian,Military,State and local,
United States ,"-5,494","39,466","1,101","17,098","-1,753","36,197","2,992","11,164","5,748","2,242","-1,101","13,870",
   New England ,-240,"2,204",145,868,-287,"2,274",94,715,309,78,-60,511,
    Connecticut ,-23,-103,34,249,-73,492,27,164,71,6,-20,102,
    Maine ,-30,71,15,75,-8,173,4,60,28,27,-32,44,
    Massachusetts ,-89,"1,923",86,415,-156,"1,232",110,305,140,3,-9,301,
    New Hampshire ,-55,153,10,84,-7,154,-41,96,35,23,-78,-2,
    Rhode Island ,-30,106,0,24,-38,142,-4,49,23,12,30,37,
    Vermont ,-13,54,1,21,-4,81,-2,41,12,6,49,30,
  Mideast ,-280,"8,157",230,"3,030",-287,"8,424",857,"2,601","1,580",598,244,"3,419",
    Delaware ,-106,97,-319,51,-4,125,14,38,11,15,-33,35,
    District of Columbia ,-43,480,-172,94,-5,202,8,137,71,-76,44,7,
    Maryland ,-136,961,15,278,-81,735,55,195,116,422,-101,287,
    New Jersey ,-173,"1,742",129,495,23,"1,196",290,513,284,138,-38,438,
    New York ,351,"3,538",378,"1,650",-154,"4,429",351,"1,282",873,13,412,"2,298",
    Pennsylvania ,-174,"1,339",199,461,-67,"1,737",139,435,224,86,-40,355,
  Great Lakes ,"-1,616","4,313",326,"2,113",-494,"4,107",384,"1,129",637,116,-223,"1,869",
    Illinois ,-372,"1,778",128,670,-188,"1,445",120,458,157,20,-200,480,
    Indiana ,-784,329,30,293,-85,635,48,86,93,-16,-105,227,
    Michigan ,-388,"1,025",32,406,-37,"1,023",22,71,131,67,65,443,
    Ohio ,58,748,86,528,-106,"1,217",194,297,200,53,-181,417,
    Wisconsin ,-130,433,51,216,-78,-213,-1,217,56,-8,198,302,
  Plains ,-188,"1,901",68,875,-85,"2,393",111,447,234,-43,-278,848,
    Iowa ,-2,164,-12,22,-4,238,4,73,22,5,1,135,
    Kansas ,-136,136,-9,143,-17,279,11,58,30,0,-34,99,
    Minnesota ,-7,761,45,299,15,863,70,131,98,-1,-174,239,
    Missouri ,40,646,42,234,-72,642,38,151,66,-62,-56,185,
    Nebraska,-11,114,-2,125,-6,230,-2,32,13,1,2,85,
    North Dakota ,-37,53,6,42,-4,26,-6,-6,-6,2,-12,44,
    South Dakota ,-34,27,-2,11,2,114,-4,8,11,12,-6,61,
  Southeast ,-436,"7,703",-707,"4,445",-272,"8,091",473,"3,026","1,249",708,-781,"2,880",
    Alabama ,-12,361,1,158,-13,387,10,27,37,63,-45,206,
    Arkansas ,-60,85,-900,26,13,281,6,51,6,8,-7,85,
    Florida ,325,"2,309",55,"1,255",-157,"2,283",333,938,527,148,3,722,
    Georgia ,-130,"1,103",93,713,-88,968,55,316,120,62,-141,384,
    Kentucky ,-80,249,11,216,-19,456,21,137,32,11,-14,86,
    Louisiana ,-94,377,-6,28,-56,430,1,128,38,1,72,31,
    Mississippi ,-13,46,5,106,-5,162,4,76,10,19,-28,102,
    North Carolina ,-200,"1,054",28,600,-56,931,83,407,174,41,-424,492,
    South Carolina ,-17,324,13,211,-11,340,25,170,71,31,-89,156,
    Tennessee ,-98,546,45,398,-20,625,-149,360,119,48,-10,233,
    Virginia ,-25,"1,247",-58,636,148,"1,069",78,358,114,261,-183,243,
    West Virginia ,-31,1,5,96,-8,157,8,59,0,16,87,142,
  Southwest ,380,"5,320",294,"1,525",15,"3,434",463,824,489,358,196,"1,287",
    Arizona ,-237,601,73,108,31,939,49,-172,81,53,-29,323,
    New Mexico ,-38,89,-302,26,3,149,-14,41,26,34,8,71,
    Oklahoma ,-19,-9,9,206,-33,68,-5,124,-25,70,-28,199,
    Texas ,674,"4,638",515,"1,185",14,"2,278",433,831,407,202,245,695,
  Rocky Mountain ,-473,"1,611",24,664,-56,"1,019",359,143,124,180,1,398,
    Colorado ,-215,"1,283",52,308,-39,468,264,44,115,23,-67,199,
    Idaho ,-68,125,12,74,-2,156,15,57,2,23,-2,69,
    Montana ,-37,73,0,21,1,107,6,54,10,45,22,8,
    Utah ,-124,101,-42,244,-21,265,70,1,-17,76,51,109,
    Wyoming ,-27,28,2,18,5,24,5,-13,14,13,-4,12,
  Far West ,"-2,642","8,259",721,"3,578",-286,"6,455",251,"2,279","1,126",246,-200,"2,658",
    Alaska ,-16,38,4,14,-3,97,19,-6,22,4,10,-36,
    California ,"-2,114","6,835",399,"2,548",-287,"4,618",334,"1,183",847,-12,-13,"2,506",
    Hawaii ,-71,94,8,42,8,104,-1,250,47,95,-100,64,
    Nevada ,18,282,20,171,-17,247,-62,128,-5,24,-14,149,
    Oregon ,-179,362,55,163,-4,566,0,302,66,28,-82,216,
    Washington ,-280,647,235,641,18,823,-39,422,149,108,-1,-242,
U.S. Bureau of Economic Analysis,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
