date,dow,holiday,day
2022/8/4,4,0,1
2022/8/5,5,0,2
2022/8/6,6,1,3
2022/8/7,7,1,4
2022/8/8,1,0,5
2022/8/9,2,0,6
2022/8/10,3,0,7
2022/8/11,4,0,8
2022/8/12,5,0,9
2022/8/13,6,1,10
2022/8/14,7,1,11
2022/8/15,1,0,12
2022/8/16,2,0,13
2022/8/17,3,0,14
2022/8/18,4,0,15
2022/8/19,5,0,16
2022/8/20,6,1,17
2022/8/21,7,1,18
2022/8/22,1,0,19
2022/8/23,2,0,20
2022/8/24,3,0,21
2022/8/25,4,0,22
2022/8/26,5,0,23
2022/8/27,6,1,24
2022/8/28,7,1,25
2022/8/29,1,0,26
2022/8/30,2,0,27
2022/8/31,3,0,28
2022/9/1,4,0,29
2022/9/2,5,0,30
2022/9/3,6,1,31
2022/9/4,7,1,32
2022/9/5,1,1,33
2022/9/6,2,0,34
2022/9/7,3,0,35
2022/9/8,4,0,36
2022/9/9,5,0,37
2022/9/10,6,1,38
2022/9/11,7,1,39
2022/9/12,1,0,40
2022/9/13,2,0,41
2022/9/14,3,0,42
2022/9/15,4,0,43
2022/9/16,5,0,44
2022/9/17,6,1,45
2022/9/18,7,1,46
2022/9/19,1,0,47
2022/9/20,2,0,48
2022/9/21,3,0,49
2022/9/22,4,0,50
2022/9/23,5,0,51
2022/9/24,6,1,52
2022/9/25,7,1,53
2022/9/26,1,0,54
2022/9/27,2,0,55
2022/9/28,3,0,56
2022/9/29,4,0,57
2022/9/30,5,0,58
2022/10/1,6,1,59
2022/10/2,7,1,60
,,,
