location,lagday,BIC,variable,Estimate,Std.Error,z,P,2.5%,97.5%,population,cases,direction
Alabama,5,244.088291,temp,-0.394336467,0.124854564,-3.15836646,0.00158656,-0.639046916,-0.149626019,4893186,23.50207002,south
Arizona,12,423.780034,temp,0.171462517,0.093244259,1.83885334,0.06593676,-0.011292872,0.354217906,7174064,65.93194597,west
Arkansas,3,276.8612198,temp,0.121075648,0.074988715,1.614584907,0.106400616,-0.025899533,0.268050829,3011873,19.25712007,south
California,8,263.5051295,temp,0.167448294,0.0512635,3.266423373,0.001089153,0.066973681,0.267922908,39346023,127.3318017,west
Colorado,27,188.0181916,temp,0.19818505,0.064233397,3.085389515,0.002032857,0.072289905,0.324080195,5684926,48.90125219,west
Connecticut,5,380.8860294,temp,-0.073756569,0.056376463,-1.308286571,0.190776128,-0.184252406,0.036739267,3570549,35.2886909,northeast
Delaware,14,293.7182782,temp,0.165587692,0.042330332,3.911797566,9.16117E-05,0.082621764,0.248553619,967679,39.26922047,south
District of Columbia,1,428.2810212,temp,0.23139076,0.057435426,4.0287115,5.60834E-05,0.118819394,0.343962126,701974,708.0034303,
Florida,13,471.1745529,temp,0.470389385,0.174167704,2.700784208,0.006917621,0.129026958,0.811751813,21216924,119.1972974,south
Georgia,6,491.9681222,temp,0.422702414,0.106963205,3.951848813,7.75497E-05,0.213058385,0.632346443,10516579,169.7320013,south
Hawaii,1,160.695325,temp,0.483951882,0.109250716,4.429736493,9.43483E-06,0.269824414,0.69807935,1420074,23.94241427,west
Illinois,15,458.0739968,temp,0.221377331,0.056281018,3.933427964,8.37429E-05,0.111068562,0.331686099,12716164,103.4116892,midwest
Indiana,10,385.6029417,temp,0.133895271,0.054408836,2.460910409,0.013858497,0.027255912,0.24053463,6696893,34.94157664,midwest
Kentucky,5,281.4658142,temp,-0.2255228,0.057424852,-3.927268297,8.59161E-05,-0.338073442,-0.112972159,4461952,11.87820936,south
Louisiana,29,382.8846887,temp,0.482155973,0.243210748,1.982461619,0.047427599,0.005471666,0.95884028,4664616,54.45249941,south
Maryland,12,438.4224584,temp,0.466172631,0.157214529,2.965200708,0.003024855,0.158037818,0.774307445,6037624,109.148897,south
Massachusetts,9,261.4278918,temp,0.138069674,0.02812869,4.908499995,9.17756E-07,0.082938455,0.193200893,6873003,57.61673609,northeast
Michigan,9,323.5639269,temp,-0.346771369,0.0995969,-3.481748627,0.000498151,-0.541977706,-0.151565033,9973907,26.66958896,midwest
Minnesota,13,388.8365558,temp,0.137351282,0.043555636,3.153467458,0.001613432,0.051983803,0.222718761,5600166,35.53466094,midwest
Mississippi,6,397.4991413,temp,0.100647449,0.076004628,1.324227897,0.185427368,-0.048318885,0.249613783,2981835,29.1766647,south
Missouri,4,341.1051117,temp,-0.180674769,0.067197329,-2.68871952,0.007172666,-0.312379113,-0.048970425,6124160,18.45151008,midwest
Nebraska,29,169.1421883,temp,2.067597616,0.607546866,3.403190322,0.000666039,0.876827639,3.258367592,1923826,14.5543308,midwest
Nevada,9,380.7423685,temp,0.252431296,0.084094154,3.001769847,0.00268415,0.087609783,0.417252809,3030281,88.11064056,west
New Hampshire,4,194.1209252,temp,-0.051074071,0.024689564,-2.068650186,0.038578925,-0.099464727,-0.002683415,1355244,22.13623525,northeast
New Jersey,14,438.8263636,temp,0.214772267,0.042507774,5.052540965,4.35971E-07,0.131458562,0.298085973,8885418,80.24383321,northeast
New Mexico,6,194.0226883,temp,-0.137759695,0.080239748,-1.71685104,0.086006392,-0.295026712,0.019507321,2097021,19.07467784,west
New York,14,494.8815666,temp,0.253496315,0.057456785,4.411947404,1.02445E-05,0.140883085,0.366109544,19514849,201.3338663,northeast
North Carolina,4,336.4125352,temp,-0.320053395,0.090676981,-3.529599151,0.00041619,-0.497777012,-0.142329778,10386227,54.49524645,south
Ohio,15,384.9148809,temp,0.166690856,0.061815004,2.696608345,0.007004961,0.045535674,0.287846037,11675275,23.8966534,midwest
Oklahoma,2,219.5132457,temp,0.066676699,0.020330248,3.279679499,0.001039251,0.026830144,0.106523254,3949342,10.12826947,south
Oregon,15,215.5263138,temp,0.373592509,0.144576069,2.584054968,0.009764623,0.090228621,0.656956397,4176346,51.71985271,west
Pennsylvania,9,446.9215889,temp,0.235536003,0.05279545,4.461293558,8.14664E-06,0.132058821,0.339013184,12794885,59.63320499,northeast
Puerto Rico,9,322.1419827,temp,0.460941559,0.170165667,2.708781193,0.006753086,0.12742298,0.794460139,3255642,54.98147524,
Rhode Island,9,349.5582586,temp,0.119879654,0.05747197,2.085880357,0.036989462,0.007236662,0.232522646,1057798,69.95664579,northeast
South Carolina,15,411.2618717,temp,0.15050111,0.086724217,1.735398888,0.082670177,-0.019475232,0.320477451,5091517,33.19246504,south
Tennessee,11,407.6998221,temp,0.134034321,0.07654783,1.750987858,0.079948001,-0.015996669,0.28406531,6772268,43.11701781,south
Texas,1,458.8840121,temp,0.275717377,0.096134199,2.868046735,0.004130145,0.087297808,0.464136946,28635442,81.26293284,south
Utah,13,383.5585483,temp,0.114306754,0.037286277,3.065652114,0.002171959,0.041226994,0.187386513,3151239,50.77367981,west
Virginia,8,328.9501249,temp,-0.08667244,0.044904848,-1.930135477,0.053590054,-0.174684325,0.001339445,8509358,56.87855653,south
Washington,2,386.867086,temp,0.206265301,0.06775371,3.044339588,0.002331918,0.07347047,0.339060132,7512465,79.73414851,west
Wisconsin,7,134.1699843,temp,0.104612803,0.039170937,2.670674019,0.007569912,0.027839178,0.181386428,5806975,12.91550248,midwest
